1	7771
7771	1737
1737	7829
7829	584
584	8233
8233	2766
2766	83
83	9749
9749	2005
2005	241
241	1602
1602	9604
9604	18
18	2843
2843	276
276	9744
9744	1604
1604	128
128	7769
7769	1617
1617	7825
7825	279
279	8610
8610	3392
3392	10
10	2930
2930	10815
10815	963
963	8387
8387	3069
3069	8741
8741	64
64	9754
9754	2237
2237	351
351	2709
2709	10810
10810	20
20	7760
7760	1337
1337	4477
4477	447
447	1696
1696	131
131	1800
1800	11153
11153	734
734	7783
7783	1837
1837	7841
7841	2
2	8185
8185	1994
1994	327
327	10928
10928	2002
2002	8044
8044	130
130	2109
2109	8058
8058	618
618	12880
12880	2674
2674	32
32	2699
2699	430
430	1645
1645	90
90	8174
8174	1729
1729	363
363	5527
5527	6
6	4907
4907	1708
1708	5123
5123	68
68	12037
12037	4201
4201	12232
12232	1185
1185	4748
4748	16
16	4852
4852	1609
1609	5107
5107	43
43	4542
4542	295
295	2841
2841	8702
8702	4
4	8297
8297	2824
2824	329
329	2852
2852	47
47	2924
2924	952
952	8383
8383	3065
3065	17
17	2926
2926	8717
8717	955
955	8385
8385	3067
3067	8740
8740	100
100	8343
8343	2946
2946	8720
8720	997
997	8391
8391	3077
3077	8744
8744	7
7	8334
8334	2925
2925	8716
8716	954
954	8384
8384	3066
3066	8739
8739	84
84	8372
8372	3030
3030	8733
8733	1164
1164	8425
8425	3102
3102	8754
8754	31
31	8337
8337	2934
2934	8718
8718	975
975	3071
3071	212
212	2740
2740	670
670	1821
1821	7838
7838	3
3	8175
8175	1752
1752	638
638	2768
2768	216
216	2939
2939	982
982	3074
3074	19
19	3048
3048	1193
1193	3108
3108	129
129	2931
2931	966
966	3070
3070	11
11	3359
3359	428
428	1694
1694	49
49	1614
1614	7824
7824	225
225	9520
9520	2566
2566	7317
7317	21
21	2923
2923	949
949	4604
4604	53
53	3479
3479	591
591	2037
2037	8047
8047	1
