lvl eta etaVol etaJumps
0 2623.58030351904 2623.58030351904 0
1 1242.08090457882 1242.08072891572 0.660587253083285
2 643.943035846761 643.942628360293 0.724428036174125
3 385.094000277901 385.093329790101 0.718610609422962
4 245.549847789278 245.548956797975 0.661486782527287
5 159.84183643469 159.840795066331 0.57698126271709
6 109.845843161828 109.844778668415 0.483589929370605
7 72.5558273569804 72.5543427807776 0.464141255828183
8 46.7725316849913 46.7704716001223 0.438983514124297
9 30.8169164022544 30.8141820680903 0.410511897661769
10 20.5243307443696 20.5208487792493 0.378044816730506
11 13.6881272158954 13.6836564475154 0.349818388465054
12 9.03741516667296 9.03161948234803 0.323608437593878
13 6.20944594265033 6.20257187976772 0.292097571047281
