lvl error4lvl eta etaVol etaJumps
0 2.02322402505427 8.77622679397177 8.77622660088966 0.00184094125470704
1 0.775101690722562 5.15320518064616 4.57942300599896 2.36313532536034
2 0.59363044810414 3.18519494839288 2.32832035078582 2.17356647089159
3 0.466189745230664 2.05174662216711 1.33490050341199 1.55810938241336
4 0.351762978863501 1.64723432337693 1.00645370779497 1.30400607750762
5 0.259468794809988 1.31729900969279 0.68927557566449 1.12257554833961
6 0.208449024158004 1.06591746188142 0.546376003270092 0.91523401302308
7 0.131448520411389 0.823305999012355 0.361991496318155 0.739455830055505
8 0.0980404325154083 0.677686517619535 0.293956464848301 0.610613308843806
9 0.0680489548576328 0.549600079348241 0.224063242326877 0.50185247897919
10 0.049995119184784 0.452887733159125 0.173083624882034 0.418508491722331
