nrInnerEdges   energy   significantDigits
40   -20582.3829884706537995953112841   0
176   -20578.9876092059130314737558365   0
736   -20580.2411434675123018678277731   0
3008   -20580.3329327061692310962826014   0
12160   -20580.3461136081932636443525553   1
48896   -20580.3410377528343815356492996   2
196096   -20580.3406311795079091098159552   2
785408   -20580.3408704527464578859508038   3
