1	1.7528e+05
1.7528e+05	43947
43947	1.9712e+05
1.9712e+05	11051
11051	1.8347e+05
1.8347e+05	49410
49410	1.9725e+05
1.9725e+05	2795
2795	1.7732e+05
1.7732e+05	45995
45995	1.9719e+05
1.9719e+05	12418
12418	1.8552e+05
1.8552e+05	49474
49474	1.9731e+05
1.9731e+05	715
715	1.7579e+05
1.7579e+05	44459
44459	1.9715e+05
1.9715e+05	11563
11563	1.8398e+05
1.8398e+05	49442
49442	1.9728e+05
1.9728e+05	3138
3138	1.7784e+05
1.7784e+05	46507
46507	1.9722e+05
1.9722e+05	12450
12450	1.8603e+05
1.8603e+05	49506
49506	1.9735e+05
1.9735e+05	187
187	1.754e+05
1.754e+05	44075
44075	1.9714e+05
1.9714e+05	11179
11179	1.836e+05
1.836e+05	49426
49426	1.9727e+05
1.9727e+05	2923
2923	1.7745e+05
1.7745e+05	46123
46123	1.972e+05
1.972e+05	12434
12434	1.8564e+05
1.8564e+05	49490
49490	1.9733e+05
1.9733e+05	802
802	1.7592e+05
1.7592e+05	44587
44587	1.9717e+05
1.9717e+05	11691
11691	1.8411e+05
1.8411e+05	49458
49458	1.973e+05
1.973e+05	3154
3154	1.7796e+05
1.7796e+05	46635
46635	1.9723e+05
1.9723e+05	12466
12466	1.8616e+05
1.8616e+05	49522
49522	1.9736e+05
1.9736e+05	51
51	1.7531e+05
1.7531e+05	43979
43979	1.9713e+05
1.9713e+05	11083
11083	1.835e+05
1.835e+05	49418
49418	1.9726e+05
1.9726e+05	2827
2827	1.7736e+05
1.7736e+05	46027
46027	1.9719e+05
1.9719e+05	12426
12426	1.8555e+05
1.8555e+05	49482
49482	1.9732e+05
1.9732e+05	747
747	1.7582e+05
1.7582e+05	44491
44491	1.9716e+05
1.9716e+05	11595
11595	1.8401e+05
1.8401e+05	49450
49450	1.9729e+05
1.9729e+05	3146
3146	1.7787e+05
1.7787e+05	46539
46539	1.9723e+05
1.9723e+05	12458
12458	1.8606e+05
1.8606e+05	49514
49514	1.9735e+05
1.9735e+05	210
210	1.7544e+05
1.7544e+05	44107
44107	1.9715e+05
1.9715e+05	11211
11211	1.8363e+05
1.8363e+05	49434
49434	1.9727e+05
1.9727e+05	2955
2955	1.7748e+05
1.7748e+05	46155
46155	1.9721e+05
1.9721e+05	12442
12442	1.8568e+05
1.8568e+05	49498
49498	1.9734e+05
1.9734e+05	810
810	1.7595e+05
1.7595e+05	44619
44619	1.9718e+05
1.9718e+05	11723
11723	1.8414e+05
1.8414e+05	49466
49466	1.9731e+05
1.9731e+05	3162
3162	1.78e+05
1.78e+05	46667
46667	1.9724e+05
1.9724e+05	12474
12474	1.8619e+05
1.8619e+05	49530
49530	1.9737e+05
