lvl energy
0 -273.154433971075
1 -567.720446526737
2 -749.367429225933
3 -818.12433622222
4 -851.583238505975
5 -882.094830247322
6 -899.262605036734
7 -914.083991929179
8 -927.451751761501
9 -936.032693982461
10 -944.279333659818
11 -949.917455072597
12 -955.619190662778
13 -959.153196016887
14 -961.442896803884
15 -962.92000071517
16 -964.250418020452
17 -965.111363161539
18 -965.756674824717
19 -966.76789084918
20 -967.546435643135
21 -967.917922930929
22 -968.332839768893
