lvl eta etaVol etaJumps
0 2623.57869762747 2623.57869762747 0
1 1242.07860819968 1242.07843255285 0.660556043303435
2 643.946034793503 643.945627190878 0.724532967557931
3 385.094528269997 385.093857835223 0.718582685897136
4 245.549937073774 245.54904529753 0.661778215185086
5 159.842140372701 159.84109910556 0.576953769983174
6 109.84423594536 109.843170870079 0.483718540628207
7 72.5548884083333 72.5534028358102 0.46429396975983
8 46.7728104837831 46.7707497882663 0.439049877892231
9 30.8172172009947 30.8144840043352 0.410428507600851
10 20.5246296585119 20.5211480847224 0.378026327072542
