924	30	1048
925	44	1049
988	647	1065
32	988	1065
162	1123	1354
164	1124	1355
165	1172	1348
593	1214	1371
1178	162	1354
1179	164	1355
1180	41	1327
1181	58	1328
545	595	1218
967	528	1230
593	539	1214
571	917	1321
572	918	1322
41	824	1327
58	828	1328
581	529	1225
1218	595	1373
1233	663	1376
1234	646	1377
1313	390	1393
1314	393	1394
581	1225	1366
594	1228	1372
204	1250	1381
719	1229	1382
729	1266	1378
528	610	1230
1193	569	1427
1194	570	1428
1172	550	1227
1230	610	1432
1251	187	1442
1278	759	1440
1279	760	1441
662	1239	1437
470	1534	1806
20	1558	1845
29	1559	1846
470	1602	1840
471	1546	1842
198	1608	1904
184	1610	1824
197	1573	1903
1546	471	1809
1560	45	1830
1602	184	1835
1534	470	1840
1610	471	1842
1635	20	1845
1636	29	1846
1122	408	1695
1223	612	1761
703	1178	1638
704	1179	1639
967	1230	1773
1504	523	1793
1561	683	1818
1562	684	1819
1563	673	1820
1564	674	1821
1629	20	1635
1630	29	1636
1651	827	1855
1652	871	1856
612	1504	1793
562	1538	1806
720	1561	1818
721	1562	1819
754	1563	1820
851	1472	1736
941	1722	1875
1005	1736	1861
805	1615	1749
806	1616	1750
1003	1749	1859
1004	1750	1860
635	733	1623
636	734	1624
408	853	1695
419	1154	1760
1472	419	1760
1522	509	1725
1523	510	1726
1543	604	1809
1576	711	1900
1577	712	1901
1586	274	1906
1615	635	1623
1616	636	1624
1620	730	1826
1623	733	1828
1624	734	1829
1626	754	1908
1627	755	1909
1640	696	1641
1650	871	1652
1695	853	1873
1708	989	1878
1709	990	1879
1715	827	1651
1725	963	1916
1726	964	1917
1743	1008	1857
1755	1029	1858
1760	1154	1881
471	1543	1809
691	1576	1900
692	1577	1901
270	1623	1828
271	1624	1829
45	1640	1641
45	1641	1830
46	1650	1652
654	1708	1878
655	1709	1879
22	1715	1651
366	1760	1881
79	1960	2319
611	1968	2447
591	1969	2234
592	1970	2235
724	2028	2448
725	2029	2449
726	2030	2450
442	2129	2289
403	2141	2070
411	2142	2072
90	1965	2391
153	2155	2164
143	2166	2380
1963	86	2316
1961	85	2325
1968	611	2324
1985	411	2135
2129	153	2100
2130	143	2380
2141	167	2258
2142	151	2259
2154	90	2391
2155	412	2096
2158	394	2371
2159	395	2372
2166	403	2167
2325	2135	525
2151	2345	715
2152	2346	716
2153	2347	717
2289	2100	825
2382	2101	948
2070	2258	852
2072	2259	856
2161	2391	826
2164	2096	854
2380	2167	840
2135	2325	1985
2345	2151	2039
2346	2152	2040
2347	2153	2041
2100	2289	2129
2101	2382	2131
2258	2070	2141
2259	2072	2142
2391	2161	2154
2096	2164	2155
2167	2380	2166
828	530	2020
1437	736	2197
1393	390	2200
1394	393	2201
1395	384	2202
1396	385	2203
1347	1135	2187
1349	1137	2188
405	1415	2217
407	1417	2218
1284	1033	2256
1285	1034	2257
1321	917	2262
1322	918	2263
1506	929	2175
1507	930	2176
1538	562	2316
281	581	1962
647	988	2024
167	1347	2187
151	1349	2188
769	1376	2208
768	1377	2209
432	1391	2211
433	1392	2212
1347	405	2217
1349	407	2218
1030	1282	2287
1031	1283	2288
927	1698	2313
928	1699	2314
931	1508	2160
604	1543	2319
738	659	2060
741	669	2061
1070	403	2070
952	411	2072
978	230	2151
979	231	2152
980	226	2153
1036	931	2160
1007	412	2161
1020	153	2164
1297	167	2187
1298	151	2188
390	1408	2215
393	1409	2216
1135	1347	2217
1137	1349	2218
