x	y
1.000000	4682826.683626076207
6.000000	2003049.132391531952
14.000000	890276.988793074852
28.000000	249556.664278250188
58.000000	94257.272277714728
94.000000	38566.791683349562
173.000000	15939.688470087905
278.000000	7024.642711994644
466.000000	3617.258009873788
885.000000	1472.632120956125
1434.000000	668.388518231945
2389.000000	313.201838253755
3765.000000	134.761218457896
6048.000000	59.946835945448
9873.000000	26.870073211398
16280.000000	12.810789076941
25057.000000	5.972273943610
41380.000000	2.734017242560
71595.000000	1.272878735575
117692.000000	0.615309638531
207277.000000	0.305634652176
362988.000000	0.151512689386
645788.000000	0.078632355566
