1	126
126	1989
1989	35
35	283
283	3970
3970	90
90	3969
3969	180
180	1991
1991	5
5	2024
2024	249
249	2282
2282	60
60	4851
4851	911
911	30
30	7887
7887	67
67	2
2	58
58	7885
7885	28
28	913
913	4641
4641	65
65	2254
2254	261
261	2022
2022	7
7	1996
1996	165
165	2256
2256	83
83	4028
4028	504
504	16
16	3963
3963	82
82	3
3	150
150	3966
3966	36
36	335
335	3971
3971	151
151	3967
3967	348
348	2012
2012	9
9	2025
2025	250
250	2283
2283	61
61	4852
4852	912
912	31
31	7888
7888	68
68	4
4	59
59	7886
7886	29
29	914
914	4642
4642	66
66	2255
2255	262
262	2023
2023	8
8	1997
1997	170
170	3968
3968	102
102	3973
3973	287
287	32
32	1985
1985	149
149	1
