128	20	140
29	128	140
6	128	139
128	29	139
29	140	188
140	60	188
20	60	140
187	10	222
75	187	222
60	187	224
187	75	224
75	29	188
188	60	224
75	188	224
20	2	51
60	51	169
169	10	187
60	169	187
20	51	60
72	28	96
216	96	337
39	216	337
72	96	216
215	72	264
94	215	264
10	215	262
215	94	262
216	39	263
94	216	263
72	216	264
216	94	264
336	73	412
218	336	412
95	336	413
336	218	413
218	13	266
266	95	413
218	266	413
316	73	336
95	316	336
39	316	335
316	95	335
96	28	315
315	73	338
96	315	338
316	39	337
96	316	337
73	316	338
316	96	338
28	138	172
138	53	172
5	53	138
218	171	393
13	218	393
73	394	412
394	218	412
171	218	394
53	171	219
219	171	394
73	219	394
172	73	315
28	172	315
172	53	219
73	172	219
222	10	262
94	222	262
75	222	265
222	94	265
223	75	265
94	223	265
39	223	263
223	94	263
29	75	97
97	75	223
223	39	339
97	223	339
76	29	97
227	97	339
339	39	416
227	339	416
76	97	227
225	76	267
95	225	267
13	225	266
225	95	266
76	227	267
267	227	417
95	267	417
335	95	417
227	335	417
39	335	416
335	227	416
38	6	139
139	29	155
38	139	155
38	155	226
155	76	226
29	76	155
154	38	226
76	154	226
225	13	387
154	225	387
154	76	225
202	9	234
79	202	234
67	202	237
202	79	237
203	67	237
79	203	237
33	203	235
203	79	235
26	67	82
82	67	203
203	33	325
82	203	325
68	311	326
311	82	326
26	82	311
312	68	326
82	312	326
33	312	325
312	82	325
319	11	405
205	319	405
80	319	407
319	205	407
322	80	407
205	322	407
68	322	406
322	205	406
312	33	320
80	312	320
68	312	322
312	80	322
32	5	135
135	26	146
32	135	146
32	146	206
146	68	206
146	26	311
68	146	311
145	32	206
206	68	385
145	206	385
11	384	405
384	205	405
145	205	384
205	145	385
385	68	406
205	385	406
25	133	144
133	31	144
4	31	133
200	143	382
382	11	402
200	382	402
66	383	403
383	200	403
143	200	383
31	143	201
201	143	383
66	201	383
144	66	309
25	144	309
144	31	201
66	144	201
65	25	81
198	81	323
33	198	323
65	81	198
197	65	236
79	197	236
9	197	234
197	79	234
198	33	235
79	198	235
65	198	236
198	79	236
321	66	403
200	321	403
80	321	404
321	200	404
319	80	404
200	319	404
11	319	402
319	200	402
310	66	321
80	310	321
33	310	320
310	80	320
81	25	309
309	66	324
81	309	324
310	33	323
81	310	323
66	310	324
310	81	324
9	168	181
168	57	181
50	57	168
50	17	57
0	17	50
125	4	133
25	125	133
17	125	134
125	25	134
181	57	199
65	181	199
9	181	197
181	65	197
57	182	199
182	65	199
25	65	182
57	17	134
134	25	182
57	134	182
36	152	156
152	38	156
6	38	152
254	154	387
387	13	427
254	387	427
89	388	428
388	254	428
154	254	388
38	154	255
255	154	388
89	255	388
156	89	330
36	156	330
156	38	255
89	156	255
88	36	101
252	101	346
40	252	346
88	101	252
251	88	271
98	251	271
12	251	268
251	98	268
252	40	269
98	252	269
88	252	271
252	98	271
343	89	428
254	343	428
99	343	429
343	254	429
340	99	429
254	340	429
13	340	427
340	254	427
331	89	343
99	331	343
40	331	341
331	99	341
101	36	330
330	89	347
101	330	347
331	40	346
101	331	346
89	331	347
331	101	347
171	53	250
250	87	395
171	250	395
13	393	424
393	249	424
171	249	393
249	171	395
395	87	425
249	395	425
53	173	250
173	87	250
173	35	328
87	173	328
53	5	150
150	35	173
53	150	173
246	12	268
98	246	268
86	246	270
246	98	270
248	86	270
98	248	270
40	248	269
248	98	269
35	86	100
100	86	248
248	40	344
100	248	344
87	328	345
328	100	345
35	100	328
329	87	345
100	329	345
40	329	344
329	100	344
340	13	424
249	340	424
99	340	426
340	249	426
342	99	426
249	342	426
87	342	425
342	249	425
329	40	341
99	329	341
87	329	342
329	99	342
241	12	258
91	241	258
84	241	260
241	91	260
242	84	260
91	242	260
37	242	259
242	91	259
34	84	92
92	84	242
242	37	334
92	242	334
83	34	92
240	92	334
334	37	420
240	334	420
83	92	240
238	83	257
90	238	257
11	238	256
238	90	256
83	240	257
257	240	421
90	257	421
332	90	421
240	332	421
37	332	420
332	240	420
31	4	147
147	34	149
31	147	149
31	149	239
149	83	239
34	83	149
143	31	239
83	143	239
238	11	382
143	238	382
143	83	238
35	150	151
150	32	151
5	32	150
244	145	384
11	244	384
85	386	422
386	244	422
145	244	386
32	145	245
245	145	386
85	245	386
85	35	151
151	32	245
85	151	245
86	35	93
93	37	247
86	93	247
246	86	261
91	246	261
12	246	258
246	91	258
247	37	259
91	247	259
86	247	261
247	91	261
333	85	422
244	333	422
90	333	423
333	244	423
244	11	256
256	90	423
244	256	423
327	85	333
90	327	333
37	327	332
327	90	332
35	85	93
93	85	327
37	93	327
12	170	185
170	59	185
52	59	170
52	19	59
1	19	52
127	6	152
36	127	152
19	127	153
127	36	153
185	59	253
88	185	253
12	185	251
185	88	251
59	186	253
186	88	253
36	88	186
59	19	153
153	36	186
59	153	186
126	18	148
34	126	148
4	126	147
126	34	147
34	148	184
148	58	184
18	58	148
183	12	241
84	183	241
58	183	243
183	84	243
84	34	184
184	58	243
84	184	243
18	1	52
58	52	170
170	12	183
58	170	183
18	52	58
129	21	137
27	129	137
7	129	136
129	27	136
27	137	190
137	61	190
21	61	137
189	9	209
70	189	209
61	189	211
189	70	211
70	27	190
190	61	211
70	190	211
21	0	50
61	50	168
168	9	189
61	168	189
21	50	61
67	26	104
204	104	350
42	204	350
67	104	204
202	67	274
102	202	274
9	202	272
202	102	272
204	42	273
102	204	273
67	204	274
204	102	274
349	69	408
207	349	408
103	349	409
349	207	409
207	14	276
276	103	409
207	276	409
314	69	349
103	314	349
42	314	348
314	103	348
104	26	313
313	69	351
104	313	351
314	42	350
104	314	350
69	314	351
314	104	351
26	135	175
135	54	175
5	54	135
207	174	396
14	207	396
69	397	408
397	207	408
174	207	397
54	174	208
208	174	397
69	208	397
175	69	313
26	175	313
175	54	208
69	175	208
209	9	272
102	209	272
70	209	275
209	102	275
210	70	275
102	210	275
42	210	273
210	102	273
27	70	105
105	70	210
210	42	352
105	210	352
71	27	105
214	105	352
352	42	410
214	352	410
71	105	214
212	71	277
103	212	277
14	212	276
212	103	276
71	214	277
277	214	411
103	277	411
348	103	411
214	348	411
42	348	410
348	214	410
41	7	136
136	27	158
41	136	158
41	158	213
158	71	213
27	71	158
157	41	213
71	157	213
212	14	389
157	212	389
157	71	212
177	55	221
221	74	400
177	221	400
220	15	399
177	220	399
220	177	400
400	74	414
220	400	414
55	178	221
178	74	221
178	28	317
74	178	317
55	5	138
138	28	178
55	138	178
215	10	278
106	215	278
72	215	280
215	106	280
217	72	280
106	217	280
44	217	279
217	106	279
28	72	108
108	72	217
217	44	355
108	217	355
74	317	356
317	108	356
28	108	317
318	74	356
108	318	356
44	318	355
318	108	355
15	220	282
282	220	415
107	282	415
354	107	415
220	354	415
74	354	414
354	220	414
318	44	353
107	318	353
74	318	354
318	107	354
30	141	160
141	43	160
8	43	141
231	159	391
15	231	391
78	159	231
43	159	232
159	78	232
78	30	160
160	43	232
78	160	232
77	30	109
229	109	357
44	229	357
77	109	229
228	77	281
106	228	281
10	228	278
228	106	278
229	44	279
106	229	279
77	229	281
229	106	281
231	15	282
107	231	282
78	231	283
231	107	283
353	44	418
233	353	418
107	353	419
353	233	419
233	78	283
283	107	419
233	283	419
30	78	109
109	78	233
44	357	418
357	233	418
109	233	357
10	169	193
169	63	193
51	63	169
51	23	63
2	23	51
131	8	141
30	131	141
23	131	142
131	30	142
193	63	230
77	193	230
10	193	228
193	77	228
63	194	230
194	77	230
30	77	194
63	23	142
142	30	194
63	142	194
46	162	164
162	41	164
7	41	162
291	157	389
389	14	436
291	389	436
113	390	437
390	291	437
157	291	390
41	157	292
292	157	390
113	292	390
164	113	362
46	164	362
164	41	292
113	164	292
114	46	120
294	120	372
48	294	372
114	120	294
293	114	304
118	293	304
16	293	301
293	118	301
294	48	302
118	294	302
114	294	304
294	118	304
369	113	437
291	369	437
117	369	438
369	291	438
366	117	438
291	366	438
14	366	436
366	291	436
363	113	369
117	363	369
48	363	367
363	117	367
120	46	362
362	113	373
120	362	373
363	48	372
120	363	372
113	363	373
363	120	373
174	54	285
285	110	398
174	285	398
14	396	430
396	284	430
174	284	396
284	174	398
398	110	431
284	398	431
54	176	285
176	110	285
176	45	358
110	176	358
54	5	161
161	45	176
54	161	176
288	16	301
118	288	301
112	288	303
288	118	303
289	112	303
118	289	303
48	289	302
289	118	302
45	112	119
119	112	289
289	48	370
119	289	370
110	358	371
358	119	371
45	119	358
359	110	371
119	359	371
48	359	370
359	119	370
366	14	430
284	366	430
117	366	432
366	284	432
368	117	432
284	368	432
110	368	431
368	284	431
359	48	367
117	359	367
110	359	368
359	117	368
298	16	305
122	298	305
116	298	308
298	122	308
299	116	308
122	299	308
49	299	306
299	122	306
47	116	124
124	116	299
299	49	380
124	299	380
115	364	381
364	124	381
47	124	364
365	115	381
124	365	381
49	365	380
365	124	380
374	15	439
296	374	439
121	374	441
374	296	441
377	121	441
296	377	441
115	377	440
377	296	440
365	49	375
121	365	375
115	365	377
365	121	377
43	8	165
165	47	167
43	165	167
43	167	297
167	115	297
167	47	364
115	167	364
159	43	297
297	115	392
159	297	392
15	391	439
391	296	439
159	296	391
296	159	392
392	115	440
296	392	440
112	45	123
290	123	378
49	290	378
112	123	290
288	112	307
122	288	307
16	288	305
288	122	305
290	49	306
122	290	306
112	290	307
290	122	307
376	111	434
286	376	434
121	376	435
376	286	435
374	121	435
286	374	435
15	374	433
374	286	433
361	111	376
121	361	376
49	361	375
361	121	375
123	45	360
360	111	379
123	360	379
361	49	378
123	361	378
111	361	379
361	123	379
45	161	179
161	55	179
5	55	161
286	177	399
399	15	433
286	399	433
111	401	434
401	286	434
177	286	401
55	177	287
287	177	401
111	287	401
179	111	360
45	179	360
179	55	287
111	179	287
16	180	191
180	62	191
56	62	180
56	22	62
3	22	56
130	7	162
46	130	162
22	130	163
130	46	163
191	62	295
114	191	295
16	191	293
191	114	293
62	192	295
192	114	295
46	114	192
62	22	163
163	46	192
62	163	192
132	24	166
47	132	166
8	132	165
132	47	165
47	166	196
166	64	196
24	64	166
195	16	298
116	195	298
64	195	300
195	116	300
116	47	196
196	64	300
116	196	300
24	3	56
64	56	180
180	16	195
64	180	195
24	56	64
