lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,diffDiscExactE,gleb,diffGlebExactE,diffGlebDiscreteE
0,8,77,0.058655,0.725480958804373,87.5153712073702,87.5152920499127,7.91574575242829e-05,0.000138477995934326,0.263246865249934,-3355.72944600747,3355.46633762022,3355.72958448547
1,18,120,0.032765,0.523020820092727,44.4221006756686,43.9997315920614,0.422369083607279,-0.022404261278529,0.240704125975471,-2019.05021954194,2018.78711115469,2019.02781528066
2,36,447,0.094219,0.482413344649438,26.5646081721037,23.4947392589932,3.06986891311048,-0.582045312220083,0.318936924966084,-2345.41356380034,2345.15045541308,2344.83151848812
3,92,1038,0.292323,0.349766118045286,13.3973401222672,11.7706789667797,1.62666115548742,-0.482013259196645,0.218904871942645,-2142.867273745,2142.60416535775,2142.3852604858
4,173,1600,0.605837,0.301731467380596,6.77685440893265,5.22875274430118,1.54810166463146,-0.456587661784153,0.193479274530153,-1762.70054396396,1762.43743557671,1762.24395630218
5,360,2695,1.546507,0.259516516639842,3.20798158546253,2.10165752369211,1.10632406177043,-0.402062359474853,0.138953972220853,-1368.06913296685,1367.80602457959,1367.66707060737
6,728,4498,4.353051,0.32050997457639,1.85991566802512,0.996850602598017,0.863065065427102,-0.416784042441248,0.153675655187248,-1145.27347059649,1145.01036220924,1144.85668655405
7,1306,9498,15.180953,0.39086842581428,1.16159646659973,0.476997785101861,0.684598681497871,-0.416350679141215,0.153242291887215,-952.795258220426,952.532149833172,952.378907541285
8,2274,13335,36.102661,0.218365821903993,0.700289509383428,0.274922617067359,0.425366892316068,-0.337201274935362,0.0740928876813619,-840.778672498555,840.515564111301,840.441471223619
9,4110,7550,37.553262,0.202252809537872,0.444352139328389,0.125949233291958,0.31840290603643,-0.323580244924333,0.060471857670333,-692.499180588674,692.23607220142,692.17560034375
10,7515,48570,487.78358,0.133864021102438,0.291406449371698,0.072557554315122,0.218848895056577,-0.299238509409507,0.0361301221555074,-602.706299146268,602.443190759014,602.407060636858
11,13905,23282,483.901894,0.103206626218994,0.188637578175745,0.0336648591555241,0.154972719020221,-0.288076875896787,0.0249684886427869,-498.396141550548,498.133033163294,498.108064674651
12,25782,44843,1969.728556,0.077893310469471,0.128472434097258,0.0200549677804618,0.108417466316796,-0.280216419905603,0.0171080326516025,-437.826828961837,437.563720574583,437.546612541931
13,48779,30512,5578.682823,0.0542125964408957,0.0886001471878103,0.0131191556666272,0.075480991521183,-0.274666144781967,0.0115577575279667,-393.216491680257,392.953383293003,392.941825535475
14,93322,18864,8268.198533,0.0386512939214899,0.0604339538031943,0.00754690531453282,0.0528870484886615,-0.271038050443344,0.00792966318934363,-344.51624245128,344.253134064026,344.245204400836
15,176472,20233,15081.906727,0.0303714359943295,0.0418124232261345,0.00420712716807772,0.0376052960580568,-0.268767472710195,0.00565908545619453,-298.370168543837,298.107060156583,298.101401071127
16,342386,19386,29253.294377,0.02079703859183,0.0286781795774983,0.002351406362287,0.0263267732152113,-0.267067349717214,0.00395896246321426,-256.995853035097,256.732744647843,256.72878568538
17,673128,20057,69586.602614,0.01687014088409,0.0198464154721822,0.00146204129274645,0.0183843741794357,-0.265906245042939,0.0027978577889386,-228.420487465247,228.157379077993,228.154581220205
