lvl energy
0 -273.157301045051
1 -567.720468864859
2 -749.367456020243
3 -818.124383906679
4 -851.583849649688
5 -882.09510135309
6 -899.263981233473
7 -914.085732403784
8 -927.452991552443
9 -936.033185936062
10 -944.279935575511
11 -949.918138710043
12 -955.620234968444
13 -959.154582198975
14 -961.444639436203
15 -962.923180709399
16 -964.253537019639
17 -965.116973076332
18 -965.76372461162
19 -966.778431197855
20 -967.556406529164
21 -967.931747703525
22 -968.358354643278
