nrDof   energy   significantDigits
40   -2.07912501908365143776791228447   0
176   -2.08907747614075667286215320928   1
736   -2.06487491811806300745502085192   1
3008   -2.06396557505630973139432171592   2
12160   -2.05744780520478576235632317548   1
48896   -2.05891080514298119297222910973   2
196096   -2.05797513619716987420815712539   2
785408   -2.05813538007526819484382940573   2
3143680   -2.05802670325153380659344293235   3
12578816   -2.05805109029359822869764684583   4
