lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gleb,diffGlebDiscreteE
0,8,3,0.031752,0.860482916388663,38250820.3026108,38250818.9585083,1.3441024860856,-16840.536005255,-40357.4565122314,23516.9205069764
1,40,17,0.016744,0.408465874406767,2122584.57621486,2122580.47913324,4.09708162633877,-19737.4390249201,-27596.2986967271,7858.85967180701
2,176,140,0.046146,0.126013882652915,50095.9486650508,50094.7400477905,1.20861726036777,-20501.8190564108,-22239.6239518011,1737.80489539031
3,736,154,0.117691,0.0449517464052744,1593.5626358354,1593.20442302851,0.358212806895258,-20570.143642025,-21006.8518443927,436.708202367674
4,3008,136,0.425488,0.0154187698686691,46.7944128515071,46.7015848558385,0.0928279956687274,-20579.2537719471,-20685.1559320872,105.902160140089
5,12160,183,2.509414,0.00574281932258879,1.68540243496066,1.65940666610666,0.0259957688540076,-20580.2057861286,-20608.4434453442,28.2376592155597
6,48896,260,24.801644,0.00202753780056583,0.0723894550537946,0.0650088638312635,0.00738059122253131,-20580.3120416509,-20588.2159253362,7.90388368538333
7,196096,380,179.050371,0.000765533723472104,0.00871066397143186,0.00600482184189404,0.00270584212953782,-20580.335794945,-20583.7331764464,3.39738150134144
8,785408,796,3011.233569,0.000306186831028299,0.0025786811886062,0.00110288694747739,0.00147579424112881,-20580.3398248648,-20582.3989027541,2.05907788929835
