3	36	19
36	9	38
20	12	39
21	13	40
34	11	45
25	10	48
12	23	49
11	37	46
17	54	132
18	55	133
14	56	129
15	57	130
26	56	135
27	57	136
26	54	137
27	55	138
48	69	146
45	77	147
19	79	148
51	80	132
52	81	133
41	69	134
41	70	135
42	71	136
39	72	137
40	73	138
23	74	139
43	75	140
44	76	141
42	77	142
37	78	143
46	80	144
47	81	145
7	83	124
10	84	148
14	85	101
18	87	92
13	88	93
29	90	128
13	93	100
8	89	127
4	88	149
9	102	125
54	26	105
55	27	106
56	26	107
57	27	108
56	14	116
57	15	117
54	17	118
55	18	119
69	41	116
77	42	117
79	38	103
80	46	120
81	47	121
69	48	104
70	51	105
71	52	106
72	49	107
73	50	108
74	43	109
75	20	110
76	34	111
77	45	112
78	44	113
80	51	114
81	52	115
83	16	122
84	16	123
85	7	124
87	9	125
88	4	126
90	8	127
93	29	128
89	15	96
88	13	97
102	31	131
132	105	51
133	106	52
129	107	49
130	108	50
135	116	41
136	117	42
137	118	39
138	119	40
146	116	14
147	117	15
148	103	10
132	120	17
133	121	18
134	104	22
135	105	26
136	106	27
137	107	26
138	108	27
139	109	28
140	110	30
141	111	32
142	112	33
143	113	35
144	114	33
145	115	22
124	122	25
148	123	19
101	124	25
92	125	21
93	126	29
128	127	24
100	128	24
127	96	24
149	97	31
125	131	21
105	132	54
106	133	55
107	129	56
108	130	57
116	135	56
117	136	57
118	137	54
119	138	55
116	146	69
117	147	77
103	148	79
120	132	80
121	133	81
104	134	69
105	135	70
106	136	71
107	137	72
108	138	73
109	139	74
110	140	75
111	141	76
112	142	77
113	143	78
114	144	80
115	145	81
122	124	83
123	148	84
124	101	85
125	92	87
126	93	88
127	128	90
128	100	93
96	127	89
97	149	88
131	125	102
6	51	70
6	52	71
12	49	72
13	50	73
12	43	74
12	20	75
11	34	76
11	44	78
36	38	79
50	13	100
47	10	103
41	6	70
42	6	71
39	12	72
40	13	73
23	12	74
43	12	75
44	11	76
37	11	78
19	36	79
24	50	100
38	47	103
48	10	53
43	2	58
20	5	59
34	8	60
45	11	61
44	1	62
51	6	63
52	6	64
23	7	85
37	5	86
38	9	87
49	23	95
50	24	96
46	37	98
47	38	99
53	22	104
58	28	109
59	30	110
60	32	111
61	33	112
62	35	113
63	33	114
64	22	115
85	14	95
86	17	98
87	18	99
95	14	129
96	15	130
98	17	120
99	18	121
48	53	104
43	58	109
20	59	110
34	60	111
45	61	112
44	62	113
51	63	114
52	64	115
23	85	95
37	86	98
38	87	99
49	95	129
50	96	130
46	98	120
47	99	121
6	41	64
7	23	65
2	43	66
1	44	67
6	42	63
5	37	68
11	46	61
10	47	53
3	19	82
5	20	86
8	34	89
20	39	91
21	40	92
34	45	94
10	25	84
13	21	97
25	48	101
64	41	134
65	23	139
66	43	140
67	44	141
63	42	142
68	37	143
61	46	144
53	47	145
82	19	123
86	20	91
89	34	94
91	39	118
92	40	119
94	45	147
84	25	122
97	21	131
101	48	146
22	64	134
28	65	139
30	66	140
32	67	141
33	63	142
35	68	143
33	61	144
22	53	145
16	82	123
17	86	91
15	89	94
17	91	118
18	92	119
15	94	147
16	84	122
31	97	131
14	101	146
