nrInnerEdges   energy   significantDigits
40   -3944.98317330994041185476817191   0
176   -3920.99431416387687932001426816   0
736   -3922.35066402933398421737365425   0
3008   -3925.09102891507563981576822698   0
12160   -3924.30541730734421435045078397   0
48896   -3924.45555016226307998294942081   0
196096   -3924.33722069433224532986059785   0
785408   -3924.36990233793767401948571205   1
3143680   -3924.37733189645587117411196232   1
12578816   -3924.37385521495207285624928772   2
