1	2.9358e+05
2.9358e+05	8846
8846	2.0968e+05
2.0968e+05	1779
1779	2.0922e+05
2.0922e+05	7903
7903	1.1445e+05
1.1445e+05	170
170	1.1508e+05
1.1508e+05	11297
11297	1.1963e+05
1.1963e+05	5005
5005	52252
52252	16269
16269	48447
48447	15
15	51061
51061	7888
7888	38025
38025	782
782	37948
37948	3801
3801	36883
36883	34
34	37075
37075	3645
3645	60704
60704	24019
24019	1.2016e+05
1.2016e+05	160
160	41698
41698	11300
11300	47731
47731	5009
5009	48256
48256	11611
11611	40955
40955	5
5	40472
40472	6909
6909	40476
40476	2534
2534	1.1512e+05
1.1512e+05	15221
15221	1.1526e+05
1.1526e+05	350
350	1.1504e+05
1.1504e+05	10481
10481	62039
62039	2608
2608	36814
36814	70
70	37076
37076	3734
3734	37869
37869	614
614	8467
8467	60883
60883	25
25	36840
36840	2512
2512	1.1413e+05
1.1413e+05	7965
7965	1.1416e+05
1.1416e+05	175
175	1.1413e+05
1.1413e+05	7858
7858	1883
1883	16576
16576	3.4143e+05
3.4143e+05	2
2	2.9368e+05
2.9368e+05	16969
16969	2.098e+05
2.098e+05	3092
3092	2.0956e+05
2.0956e+05	15256
15256	172
172	2.1004e+05
2.1004e+05	15361
15361	1.919e+05
1.919e+05	2505
2505	1.6441e+05
1.6441e+05	15805
15805	2.0977e+05
2.0977e+05	47
47	2.0966e+05
2.0966e+05	4577
4577	37939
37939	364
364	36744
36744	3649
3649	36775
36775	74
74	37074
37074	3638
3638	2.1007e+05
2.1007e+05	16673
16673	81815
81815	283
283	41697
41697	11299
11299	47730
47730	5007
5007	48255
48255	11610
11610	40954
40954	7
7	40473
40473	6910
6910	40477
40477	2535
2535	1.1512e+05
1.1512e+05	15222
15222	67727
67727	351
351	70407
70407	23033
23033	2609
2609	10085
10085	71
71	23519
23519	5040
5040	615
615	2.0918e+05
2.0918e+05	6065
6065	2.1027e+05
2.1027e+05	26
26	23256
23256	1.4125e+05
1.4125e+05	3623
3623	2.2309e+05
2.2309e+05	8218
8218	94
94	7875
7875	2.0919e+05
2.0919e+05	2442
2442	2.0964e+05
2.0964e+05	9488
9488	3.4141e+05
3.4141e+05	3
3	2.9358e+05
2.9358e+05	8940
8940	2.0968e+05
2.0968e+05	2321
2321	2.0919e+05
2.0919e+05	7918
7918	1.1416e+05
1.1416e+05	80
80	1.1429e+05
1.1429e+05	8129
8129	1.3908e+05
1.3908e+05	3624
3624	23280
23280	2.1045e+05
2.1045e+05	31
31	2.1034e+05
2.1034e+05	6148
6148	2.0915e+05
2.0915e+05	772
772	5080
5080	65471
65471	63
63	9994
9994	2560
2560	2.104e+05
2.104e+05	15075
15075	69622
69622	346
346	66915
66915	15362
15362	1.1526e+05
1.1526e+05	2519
2519	40243
40243	7149
7149	40231
40231	9
9	41696
41696	11298
11298	47729
47729	5006
5006	48254
48254	11609
11609	40953
40953	288
288	82432
82432	16758
16758	1.1581e+05
1.1581e+05	3643
3643	1.1615e+05
1.1615e+05	15894
15894	73
73	1.139e+05
1.139e+05	3687
3687	36778
36778	485
485	2.0922e+05
2.0922e+05	8464
8464	60882
60882	49
49	36743
36743	1.2935e+05
1.2935e+05	3636
3636	1.1512e+05
1.1512e+05	15532
15532	1.1526e+05
1.1526e+05	174
174	7877
7877	2443
2443	2.0964e+05
2.0964e+05	9489
9489	3.4141e+05
3.4141e+05	4
4	2.9359e+05
2.9359e+05	8941
8941	2.0968e+05
2.0968e+05	2322
2322	7919
7919	173
173	15379
15379	1.1526e+05
1.1526e+05	3633
3633	1.2109e+05
1.2109e+05	36774
36774	48
48	52857
52857	4578
4578	2.092e+05
2.092e+05	365
365	36745
36745	3650
3650	1.139e+05
1.139e+05	75
75	16041
16041	3646
3646	2.0964e+05
2.0964e+05	9684
9684	1.1549e+05
1.1549e+05	214
214	38183
38183	8132
8132	47332
47332	3634
3634	48810
48810	8219
8219	65893
65893	8
8	38184
38184	8134
8134	47333
47333	3637
3637	1.1512e+05
1.1512e+05	15533
15533	1.1526e+05
1.1526e+05	221
221	66060
66060	12271
12271	2.0926e+05
2.0926e+05	3644
3644	11063
11063	52
52	65465
65465	5025
5025	484
484	6064
6064	34693
34693	27
27	23032
23032	2510
2510	1.6414e+05
1.6414e+05	10083
10083	2.0935e+05
2.0935e+05	169
169	2.0918e+05
2.0918e+05	7857
7857	2.0919e+05
2.0919e+05	1882
1882	9486
9486	3.4141e+05
3.4141e+05	1
