lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy
0,1,3,0.033849,6669911.21043002,6669910.6342993,0.57613071420191,-276.605534010987
1,8,8,0.01802,956531.45408545,956530.827657148,0.626428301428222,-554.882818100326
2,40,14,0.008537,100398.162102729,100397.470194972,0.691907756849439,-808.623795099266
3,176,48,0.019967,12989.5834169341,12989.3197714765,0.263645457534768,-894.191605098824
4,736,66,0.06787,1990.04962011373,1989.84798876495,0.201631348776648,-923.362982886424
5,3008,90,0.301329,289.157530363536,289.03130309339,0.126227270146557,-943.871590233526
6,12160,200,2.686757,41.3143282952031,41.2260720227675,0.0882562724354205,-956.413368442922
7,48896,611,58.6517,5.56465640524357,5.5163455480166,0.0483108572269605,-963.981548384085
8,196096,1884,1431.765129,0.936067756720941,0.922906870285218,0.0131608864357229,-966.341486456234
9,785408,4697,20180.87371,0.176766296340671,0.150551779473172,0.0262145168674991,-968.301096689884
