nrDof   energy
20   -2.13033066734425524657581263455
88   -2.14502087632424887075899277988
368   -2.054689230067133998147710372
1504   -2.06244786920348799341695666953
6080   -2.06162964455312591738334049296
24448   -2.05939136369343778198981453897
98048   -2.05777966627123598541970750375
392704   -2.05810961358773569784830215212
1571840   -2.05801328007131623110126383835
