lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy,gueb,hMin,hMax,sumL1NormOfJumps,normDiffDiscSolJ1DiscSol
0,1,4,0.036371,703.302013899162,702.806187704092,0.495826195070215,-2.04864832703953,0,1,1.4142135623731,0.701204129648146,0.202420196504617
1,6,12,0.016568,140.438465623756,139.949153648755,0.489311975001292,-3.49298991295108,-1.88248628744082,0.5,1,0.831480133119726,0.156136528291919
2,17,15,0.004928,51.2196732093669,50.7606743622148,0.458998847152102,-5.64984371008171,-2.99119678166803,0.353553390593274,0.707106781186548,1.02718564719996,0.193918461493577
3,28,34,0.007143,23.1330799818798,22.6722925104058,0.460787471473936,-6.40412026110609,-5.01168649632278,0.25,0.5,1.20632576506916,0.135510437004648
4,63,37,0.019735,10.2843397506969,9.90356524746749,0.380774503229383,-6.38280243781933,-5.20053983284414,0.176776695296637,0.5,1.33269992992889,0.123984930765675
5,114,59,0.016876,4.54696021772697,4.31065683678142,0.236303380945553,-6.58475207120467,-5.87121790361473,0.125,0.25,1.13842313150948,0.0789598853094605
6,247,102,0.041415,2.09500934279013,1.93763481742097,0.157374525369166,-6.66875632090365,-6.26437447094452,0.0883883476483184,0.25,1.03099077057797,0.0503098422530573
7,448,192,0.122985,1.06872271939656,0.959447487665417,0.109275231731146,-6.81346753163924,-6.44168818972915,0.0625,0.25,0.957799430081576,0.0330725092155461
8,839,257,0.242313,0.541851477933382,0.460365987098521,0.0814854908348619,-6.8777107566121,-6.50997109118165,0.03125,0.125,0.938027462480438,0.0266881737057655
9,1619,569,1.025805,0.285384397992192,0.229996143427942,0.05538825456425,-6.82733139117243,-6.54135090586121,0.0220970869120796,0.125,0.899712034277553,0.0198611798299861
10,3210,810,2.855976,0.150935464450167,0.112820410056089,0.0381150543940787,-6.81153014592535,-6.55709744642092,0.015625,0.125,0.863981552780957,0.0150569555693445
11,6105,1526,10.863935,0.0871530296628399,0.0588860256825926,0.0282670039802469,-6.82337829896136,-6.59868144334617,0.0110485434560398,0.0625,0.935223001314996,0.0112171535704837
12,12353,2779,42.685611,0.0501406083265571,0.0301190084882252,0.020021599838332,-6.82666803030505,-6.61381241978462,0.0055242717280199,0.0625,0.977006253970764,0.00832296822534993
13,24496,5310,256.887654,0.031029735872934,0.0159977860000986,0.0150319498728353,-6.8295281455275,-6.63649136165152,0.00390625,0.0441941738241592,1.08428401722983,0.00641372613837885
14,49745,7803,893.38066,0.0201046635163113,0.00880773049259861,0.0112969330237128,-6.82606768757681,-6.63372644319399,0.001953125,0.03125,1.24277255511403,0.0048770356417284
15,100245,12706,5837.745388,0.0128339667026715,0.00497224298533794,0.00786172371733391,-6.8265739860261,-6.62637033937491,0.00138106793200498,0.03125,1.3208683994663,0.00353001624256508
16,200882,18073,16054.676918,0.00861575584949506,0.00276275979914501,0.00585299605035005,-6.8267237509311,-6.61010884024394,0.0009765625,0.0220970869120796,1.49040333639468,0.00272005670538223
17,410389,22781,37974.033068,0.00595097771374784,0.00157079061032671,0.00438018710342113,-6.82756119998379,-6.61317874805116,0.00048828125,0.015625,1.66050830408848,0.00202955833130785
18,813620,25836,66627.314218,0.00390231206934677,0.000917099230396302,0.00298521283895047,-6.82656404974208,-6.59146322395491,0.000345266983001244,0.015625,1.67669329745553,0.00140599313062719
