lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,diffDiscExactE,gleb,diffGlebExactE,diffGlebDiscreteE
0,8,77,0.057496,0.725480958804373,87.5153712073702,87.5152920499127,7.91574575242829e-05,0.000138477995934326,0.263246865249934,-3355.72944600747,3355.46633762022,3355.72958448547
1,18,120,0.034159,0.523020820092727,44.4221006756686,43.9997315920614,0.422369083607279,-0.022404261278529,0.240704125975471,-2019.05021954194,2018.78711115469,2019.02781528066
2,36,447,0.099645,0.482413344649438,26.5646081721037,23.4947392589932,3.06986891311048,-0.582045312220083,0.318936924966084,-2345.41356380034,2345.15045541308,2344.83151848812
3,92,1038,0.317645,0.349766118045286,13.3973401222672,11.7706789667797,1.62666115548742,-0.482013259196645,0.218904871942645,-2142.867273745,2142.60416535775,2142.3852604858
4,173,1600,0.632793,0.301731467380596,6.77685440893265,5.22875274430118,1.54810166463146,-0.456587661784153,0.193479274530153,-1762.70054396396,1762.43743557671,1762.24395630218
5,360,2695,1.48741,0.259516516639842,3.20798158546253,2.10165752369211,1.10632406177043,-0.402062359474853,0.138953972220853,-1368.06913296685,1367.80602457959,1367.66707060737
6,728,4498,4.260103,0.32050997457639,1.85991566802512,0.996850602598017,0.863065065427102,-0.416784042441248,0.153675655187248,-1145.27347059649,1145.01036220924,1144.85668655405
7,1306,9498,15.716817,0.39086842581428,1.16159646659973,0.476997785101861,0.684598681497871,-0.416350679141215,0.153242291887215,-952.795258220426,952.532149833172,952.378907541285
8,2274,13335,41.449989,0.218365821903993,0.700289509383428,0.274922617067359,0.425366892316068,-0.337201274935362,0.0740928876813619,-840.778672498555,840.515564111301,840.441471223619
9,4110,7550,47.260309,0.202252809537872,0.444352139328389,0.125949233291958,0.31840290603643,-0.323580244924333,0.060471857670333,-692.499180588674,692.23607220142,692.17560034375
10,7515,48570,529.866728,0.133864021102438,0.291406449371698,0.072557554315122,0.218848895056577,-0.299238509409507,0.0361301221555074,-602.706299146268,602.443190759014,602.407060636858
11,13905,23282,481.349272,0.103206626218994,0.188637578175745,0.0336648591555241,0.154972719020221,-0.288076875896787,0.0249684886427869,-498.396141550548,498.133033163294,498.108064674651
12,25782,44843,2027.199338,0.077893310469471,0.128472434097258,0.0200549677804618,0.108417466316796,-0.280216419905603,0.0171080326516025,-437.826828961837,437.563720574583,437.546612541931
