lvl,nrDof,nrIterations,time,hMax,sumL1NormOfJumps,error4lvl,eta,etaVol,etaJumps,energy,diffDiscExactE,gleb,diffGlebExactE,diffGlebDiscreteE
0,8,51,0.098689,1.4142135623731,0.000156614570998961,2.02322504358624,70.2239745137802,70.2238032150691,0.000171298711071859,0.000189370185937033,2.05822343257694,-1005.26845922365,1003.21042516125,1005.26864859383
1,40,254,0.066708,0.707106781186548,9.7682478358919,0.818370377436291,24.4737480452422,17.5665809394993,6.90716710574288,-2.73569446111035,0.677660398719354,-650.715145588408,648.657111526017,647.979451127298
2,176,1477,0.490341,0.353553390593274,12.1584677078181,0.587936131645091,8.40498086742618,4.10631338975633,4.29866747766985,-2.54888050458034,0.490846442189335,-433.757423468567,431.699389406176,431.208542963987
3,736,5471,4.260453,0.176776695296637,12.767339489142,0.409848111207526,3.29445960249122,1.03749152000442,2.2569680824868,-2.34647368336562,0.288439620974621,-312.261877337003,310.203843274612,309.915403653638
4,3008,16953,56.515576,0.0883883476483184,12.1250566601973,0.217596664000298,1.33533227732791,0.263618553995535,1.07171372333238,-2.18713242938222,0.129098366991219,-221.947442457201,219.88940839481,219.760310027819
5,12160,28182,397.74521,0.0441941738241592,11.7456914881952,0.112539133450201,0.585679080931427,0.0665879496374682,0.519091131293958,-2.1195681272784,0.0615340648873985,-158.320575459713,156.262541397322,156.201007332435
6,48896,25816,2122.894273,0.0220970869120796,11.7353421575913,0.0588561876909648,0.276015617880454,0.0166987422812639,0.25931687559919,-2.0895876360739,0.0315535736829027,-112.725564361385,110.667530298994,110.635976725311
7,196096,29571,11794.505211,0.0110485434560398,11.6205198917462,0.0313586877075604,0.132572040979901,0.00418222197417686,0.128389819005724,-2.07406108460378,0.0160270222127785,-80.3558488490195,78.2978147866285,78.2817877644157
8,785408,36058,76907.805223,0.0055242717280199,11.3477392890641,0.016696844675487,0.0637345298841926,0.00104653455267575,0.0626879953315169,-2.06612356449039,0.00808950209938786,-57.4452426999532,55.3872086375622,55.3791191354628
