lvl nrDof nrIterations time error4lvl eta etaVol etaJumps energy gleb
0 8 89 0.102701 2.02322402505427 8.77622679397177 8.77622660088966 0.00184094125470704 6.78640001365354e-06 -11268.7777799847
1 33 335 0.1416 0.775101690722562 5.15320518064616 4.57942300599896 2.36313532536034 -2.86082470412122 -7428.84526420482
2 121 2986 1.384239 0.59363044810414 3.18519494839288 2.32832035078582 2.17356647089159 -2.58773006616594 -5187.91499477837
3 384 10800 8.165428 0.466189745230664 2.05174662216711 1.33490050341199 1.55810938241336 -2.44287304892224 -3898.44568832791
4 717 23037 26.614495 0.351762978863501 1.64723432337693 1.00645370779497 1.30400607750762 -2.27451004658605 -3438.76226848431
5 1408 34216 76.026913 0.259468794809988 1.31729900969279 0.68927557566449 1.12257554833961 -2.20064454254704 -2803.83075596632
6 2651 58839 233.975629 0.208449024158004 1.06591746188142 0.546376003270092 0.91523401302308 -2.17498450615005 -2524.01964918943
7 5943 135195 1146.728029 0.131448520411389 0.823305999012355 0.361991496318155 0.739455830055505 -2.12801530197911 -2025.33496030132
8 12036 230277 3977.479338 0.0980404325154083 0.677686517619535 0.293956464848301 0.610613308843806 -2.10576502570355 -1847.34559527469
9 24948 428856 16521.600937 0.0680489548576328 0.549600079348241 0.224063242326877 0.50185247897919 -2.09002678136128 -1593.64151266011
10 49355 659122 64909.416281 0.049995119184784 0.452887733159125 0.173083624882034 0.418508491722331 -2.08065423969916 -1412.63426287728
11 98601 865616 166197.909552 0.0368687526621312 0.376275313174935 0.128611902996698 0.353612909425626 -2.07436432947949 -1220.44341650604
