nrDof   energy
28   -1.55700790087923968130212415417
128   -1.56853875708519763243486977444
544   -1.54566330680889607585015710356
2240   -1.54810473036208784414213823766
9088   -1.54238893398479737228967678675
36608   -1.54431952448883902384579869249
146944   -1.54350545062915367466871430224
588800   -1.54360096235562016531162043975
2357248   -1.5435178657865937790205634883
