lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy
0,8,81,0.093593,1343.39452570415,1343.00773494724,0.386790756902276,-32.7925330191331
1,33,89,0.031143,213.282873683403,211.269909836321,2.01296384708263,-38.0895796349498
2,112,173,0.055479,27.9105164933884,26.7482560610417,1.16226043234659,-42.1183329896102
3,328,168,0.091,4.14727581798529,3.50949013226067,0.637785685724622,-44.1237864225879
4,769,463,0.484717,0.922980183093718,0.587254447725666,0.335725735368051,-45.1219866734127
5,1699,1505,3.186147,0.297858445763895,0.125697843169835,0.17216060259406,-45.6189815635242
6,3823,4641,21.56033,0.117404365266485,0.0299089042410614,0.0874954610254243,-45.8668349781639
7,10386,12564,160.693692,0.0637565108159022,0.0194904660862653,0.0442660447296366,-45.9891756583684
8,18783,35671,997.983591,0.0322546154569119,0.00682298381530431,0.0254316316416076,-46.0430033296063
