lvl error4lvl eta etaVol etaJumps
0 2.02221605971107 8.77681783623288 8.77599648142463 0.120071180714018
1 0.758575170473203 5.14916638973897 4.58193178941619 2.34942877873639
2 0.546301308800786 3.12672388590802 2.33242742845397 2.08235072687177
3 0.390456664420959 2.0197766430447 1.32837862445518 1.52148214510703
4 0.304762994199488 1.57151057754985 1.01708868918826 1.1979883528968
5 0.23036605565931 1.23316441405451 0.679074160702905 1.02934579046891
6 0.168546762887018 0.969973913454017 0.551425446534633 0.797984567329083
7 0.133588527395829 0.721677036878673 0.363018899287981 0.623726722465636
8 0.100683214847179 0.545549783303853 0.295522362931319 0.45857507462832
9 0.0861309235387364 0.399035269445461 0.203022866156593 0.343527090749732
10 0.0748180001396513 0.303123743195616 0.156802137651338 0.259416833140975
11 0.068985191185792 0.228119267238228 0.113434102114721 0.197916913281136
12 0.065631004040013 0.173688790198313 0.0858914048731848 0.15096510328372
13 0.0628898153632423 0.132274294446391 0.0643139847826972 0.115586332810854
14 0.0610187916467065 0.100460360000513 0.0451286437641393 0.0897534926531666
