1	126
126	1976
1976	35
35	283
283	3917
3917	90
90	3916
3916	180
180	1977
1977	5
5	2006
2006	249
249	2268
2268	60
60	4823
4823	912
912	30
30	7856
7856	67
67	2
2	58
58	7854
7854	28
28	914
914	4629
4629	65
65	2239
2239	261
261	2004
2004	7
7	1978
1978	165
165	2241
2241	83
83	3997
3997	506
506	16
16	3899
3899	82
82	3
3	150
150	3909
3909	36
36	335
335	3918
3918	151
151	3914
3914	348
348	1993
1993	9
9	2007
2007	250
250	2269
2269	61
61	4824
4824	913
913	31
31	7857
7857	68
68	4
4	59
59	7855
7855	29
29	915
915	4630
4630	66
66	2240
2240	262
262	2005
2005	8
8	1979
1979	170
170	3915
3915	102
102	3920
3920	287
287	32
32	1975
1975	149
149	1
